trial,stage,status,snr_db,eye_height_mv,eye_width_ps,ber,tx_level,eq_gain,pre_emphasis
130,coarse,FAIL,,,,,224,4,0
131,coarse,PASS,9.443,165.0,33.2,0.2077,224,4,2
132,coarse,PASS,9.169,169.8,33.9,0.2434,224,4,4
133,coarse,FAIL,,,,,224,4,6
134,coarse,FAIL,,,,,224,4,7
135,coarse,OUT_OF_RANGE,7.725,147.0,28.1,0.381,224,8,0
136,coarse,PASS,14.954,277.4,54.2,0.0,224,8,2
137,coarse,PASS,14.989,270.3,52.5,0.0,224,8,4
138,coarse,FAIL,,,,,224,8,6
139,coarse,FAIL,,,,,224,8,7
140,coarse,FAIL,,,,,224,12,0
141,coarse,PASS,9.474,167.5,34.6,0.2036,224,12,2
142,coarse,PASS,9.522,165.5,33.1,0.1971,224,12,4
143,coarse,FAIL,,,,,224,12,6
144,coarse,FAIL,,,,,224,12,7
145,coarse,FAIL,,,,,224,15,0
146,coarse,FAIL,,,,,224,15,2
147,coarse,FAIL,,,,,224,15,4
148,coarse,FAIL,,,,,224,15,6
149,coarse,FAIL,,,,,224,15,7
150,coarse,FAIL,,,,,255,0,0
151,coarse,FAIL,,,,,255,0,2
152,coarse,FAIL,,,,,255,0,4
153,coarse,FAIL,,,,,255,0,6
154,coarse,FAIL,,,,,255,0,7
155,coarse,FAIL,,,,,255,4,0
156,coarse,PASS,8.04,147.6,29.0,0.3583,255,4,2
157,coarse,PASS,8.351,147.6,28.4,0.332,255,4,4
158,coarse,FAIL,,,,,255,4,6
159,coarse,FAIL,,,,,255,4,7
160,coarse,OUT_OF_RANGE,6.777,127.8,22.0,0.4303,255,8,0
161,coarse,PASS,13.797,254.7,48.6,0.0,255,8,2
162,coarse,PASS,13.805,253.3,48.3,0.0,255,8,4
163,coarse,FAIL,,,,,255,8,6
164,coarse,FAIL,,,,,255,8,7
165,coarse,FAIL,,,,,255,12,0
166,coarse,PASS,8.072,147.7,29.7,0.3557,255,12,2
167,coarse,PASS,8.308,151.7,29.2,0.3359,255,12,4
168,coarse,FAIL,,,,,255,12,6
169,coarse,FAIL,,,,,255,12,7
170,coarse,FAIL,,,,,255,15,0
171,coarse,FAIL,,,,,255,15,2
172,coarse,FAIL,,,,,255,15,4
173,coarse,FAIL,,,,,255,15,6
174,coarse,FAIL,,,,,255,15,7
175,medium,PASS,11.271,198.8,39.5,0.0099,148,6,1
176,medium,PASS,13.715,250.8,49.3,0.0,148,6,2
177,medium,PASS,14.911,260.7,51.1,0.0,148,6,3
